endTime,artistName,trackName,msPlayed
2020-09-26 07:33,Jonas Brothers,Like It's Christmas,200880
2020-09-26 07:36,Ariana Grande,Santa Tell Me,204093
2020-09-26 07:39,Dan + Shay,"10,000 Hours (with Justin Bieber)",162219
2020-09-26 07:43,The Killers,Mr. Brightside,222586
2020-09-26 07:46,Kenny Chesney,All the Pretty Girls,203285
2020-09-26 07:47,Maroon 5,Lucky Strike,56387
2020-09-26 07:50,Maroon 5,This Love,206200
2020-09-26 07:53,Elvis Presley,Burning Love - Live,126503
2020-09-26 09:00,Luke Combs,Without You,207255
2020-09-26 18:54,Kings of Leon,Sex on Fire,203346
2020-09-26 19:11,John Mayer,Wildfire,253493
2020-09-26 20:24,Nelly,Ride Wit Me,289293
2020-09-26 20:30,The Lumineers,Ophelia,160097
2020-09-26 20:33,Emotional Oranges,West Coast Love,215386
2020-09-26 20:36,Kelly Clarkson,Since U Been Gone,188960
2020-09-26 20:41,Joe Jonas,"Gotta Find You - From ""Camp Rock""/Soundtrack Version",241866
2020-09-26 20:49,Three Dog Night,Joy To The World,220573
2020-09-26 20:52,The Goo Goo Dolls,Come to Me,225333
2020-09-26 21:00,Hot Chelle Rae,Tonight Tonight,200466
2020-09-26 21:02,Post Malone,Candy Paint,124148
2020-09-27 00:52,Chris Stapleton,Starting Over,211157
2020-09-27 00:57,Simple Plan,Summer Paradise (feat. Sean Paul) - Single Version,234786
2020-09-27 00:58,Stellar Kart,Kiss the Girl,78751
2020-09-27 03:44,John Gurney,Drunk by Noon,75262
2020-09-27 03:48,Josh Melton,Staycation,61284
2020-09-27 03:49,Beyond The Sun,Doing Alright,34914
2020-09-27 03:49,Patent Pending,Punk Rock Songs,43544
2020-09-27 03:52,Paul Overstreet,"Wine, Sunshine, and an Ocean",54915
2020-09-27 03:53,Jon Robert Hall,Tijuana,41959
2020-09-27 03:54,Nicholas Wells,What I'm Here For,61548
2020-09-27 03:55,Bobby Wills,Wash My Truck,43090
2020-09-27 03:59,The Hussey Brothers,Ohio,39958
2020-09-27 04:01,Coty Bouchard,I Don't Need To Know,30481
2020-09-27 04:02,Kyle Kelly,Lake Weekend,45880
2020-09-27 04:03,Grayson DeWolfe,Karma,35346
2020-09-27 04:03,Jordan Davis,Slow Dance In A Parking Lot,31922
2020-09-27 04:04,Rascal Flatts,How They Remember You - Acoustic Version,30096
2020-09-27 04:06,Shenandoah,I'd Take Another One of Those,153010
2020-09-27 04:07,Taylor Swift,betty - Live from the 2020 Academy of Country Music Awards,63650
2020-09-27 04:09,Taylor Swift,betty,72415
2020-09-27 04:10,DNCE,Cake By The Ocean,68342
2020-09-27 04:11,Hillsong UNITED,Fire Fall Down - Live,94888
2020-09-27 04:14,The Worship Initiative,Promises,70183
2020-09-27 04:16,KB,Libre (feat. Tommy Royale),44900
2020-09-27 04:18,OneRepublic,Wild Life,35970
2020-09-27 04:19,Blue Öyster Cult,Tainted Blood,53040
2020-09-27 04:20,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),32273
2020-09-27 04:20,Tiësto,The Business,53942
2020-09-27 04:21,Justin Fancy,Sure Beats a Good Time,49902
2020-09-27 04:23,Keith Urban,Soul Food,73521
2020-09-27 04:27,Matt Haughey,Movie Love,50402
2020-09-27 04:30,B.o.B,Pressure,50428
2020-09-27 04:30,Dan Rodriguez,Together Again,43093
2020-09-27 05:10,Zach Bryan,Letting Someone Go,31414
2020-09-27 07:04,Keith Urban,One Too Many,77086
2020-09-27 20:01,Jonas Brothers,When You Look Me In The Eyes,48975
