,endTime,artistName,trackName,Genre,msPlayed,Day of the Week
440,10/29/2019 22:28,Bowling For Soup,Almost,comic,206160,Tuesday
441,10/29/2019 22:31,Kanye West,Black Skinhead,chicago rap,188013,Tuesday
442,10/29/2019 22:36,Eminem,Without Me,detroit hip hop,290320,Tuesday
443,10/30/2019 5:46,The Belle Stars,Iko Iko,new wave pop,53414,Wednesday
444,10/30/2019 5:47,First Class,Beach Baby,rock,45102,Wednesday
445,10/30/2019 5:51,Hollywood Undead,Bullet,alternative metal,38792,Wednesday
446,10/30/2019 5:53,Hollywood Undead,Christmas In Hollywood,alternative metal,45702,Wednesday
447,10/30/2019 5:54,Daler Mehndi,Tunak Tunak Tun,bhangra,72002,Wednesday
448,10/30/2019 5:58,Prince Royce,Back It Up (feat. Jennifer Lopez & Pitbull) - Spanish Version,bachata,62029,Wednesday
449,10/30/2019 5:59,Daddy Yankee,Limbo,latin,34999,Wednesday
450,10/30/2019 6:04,Flight of the Conchords,Too Many Dicks (On The Dance Floor),comic,30281,Wednesday
451,10/30/2019 6:07,Jump5,"Aloha, E Komo Mai (Theme Song from Lilo & Stitch: The Series) - Extended Version",post-teen pop,41124,Wednesday
452,10/30/2019 6:10,O-Zone,Ma Ya Hi (Dragostea Din Tei) (feat. Lucas Prata),bubblegum dance,38124,Wednesday
453,10/30/2019 6:25,Sammy Adams,Driving Me Crazy,indie pop rap,34202,Wednesday
454,10/30/2019 6:25,Mumford & Sons,Forever,modern folk rock,90790,Wednesday
455,10/30/2019 6:34,Keith Urban,Never Comin Down,australian country,45424,Wednesday
456,10/30/2019 6:36,Common Kings,Take Her,jawaiian,46187,Wednesday
457,10/30/2019 6:41,Zac Brown Band,Sweet Annie,contemporary country,51826,Wednesday
458,10/30/2019 6:44,Zac Brown Band,Mango Tree,contemporary country,99071,Wednesday
459,10/30/2019 6:45,Zac Brown Band,The Wind - Greatest Hits Version,contemporary country,51967,Wednesday
460,10/30/2019 6:46,Zac Brown Band,2 Places at 1 Time,contemporary country,75614,Wednesday
461,10/30/2019 6:47,Stellar Kart,Can You Feel The Love Tonight,ccm,67425,Wednesday
462,10/30/2019 6:48,Phineas and the Ferbtones,Gitchee Gitchee Goo,pop,30216,Wednesday
463,10/30/2019 6:51,Los Lobos,One Time One Night,roots rock,30086,Wednesday
464,10/30/2019 16:32,Los Lobos,One Time One Night,roots rock,289306,Wednesday
465,10/30/2019 16:37,Caesars,Jerk It Out,swedish indie rock,195666,Wednesday
466,10/30/2019 16:42,Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",adult standards,201093,Wednesday
467,10/30/2019 16:45,Lincoln Brewster,Made New,anthem worship,202988,Wednesday
468,10/30/2019 16:49,Kenny Chesney,American Kids,contemporary country,182960,Wednesday
469,10/30/2019 16:53,Mark Keali'i Ho'omalu,"He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version",movie tunes,148133,Wednesday
470,10/30/2019 18:55,One Direction,No Control,boy band,199720,Wednesday
471,10/30/2019 18:56,PSY,DADDY,k-pop,44963,Wednesday
472,10/30/2019 19:01,Zac Brown Band,Lance's Song,contemporary country,147321,Wednesday
473,10/30/2019 21:56,Matthew West,Truth Be Told,anthem worship,219440,Wednesday
474,10/30/2019 22:00,Thomas Rhett,Notice,contemporary country,222853,Wednesday
475,10/30/2019 22:02,Shakira,"Whenever, Wherever",colombian pop,65756,Wednesday
476,10/30/2019 22:17,Old Dominion,My Heart Is a Bar,contemporary country,234853,Wednesday
477,10/30/2019 23:31,Sidewalk Prophets,Smile,anthem worship,176133,Wednesday
478,10/30/2019 23:40,Zac Brown Band,From Now On,contemporary country,260960,Wednesday
